"Time","Unix Time","Entry","Exit","No_of_people_remained","No_of_people_Entered","No_of_People_Left"
"10/25/17 8:59 AM","1508921940","0","0","0","0","0"
"10/25/17 9:00 AM","1508922000","0","0","0","0","0"
"10/25/17 9:01 AM","1508922060","3","0","3","3","0"
"10/25/17 9:02 AM","1508922120","7","4","3","4","4"
"10/25/17 9:03 AM","1508922180","9","5","4","2","1"
"10/25/17 9:04 AM","1508922240","10","5","5","1","0"
"10/25/17 9:05 AM","1508922300","10","5","5","0","0"
"10/25/17 9:06 AM","1508922360","10","5","5","0","0"
"10/25/17 9:07 AM","1508922420","37","5","32","27","0"
"10/25/17 9:08 AM","1508922480","69","6","63","32","1"
"10/25/17 9:09 AM","1508922540","102","7","95","33","1"
"10/25/17 9:10 AM","1508922600","147","9","138","45","2"
"10/25/17 9:11 AM","1508922660","182","12","170","35","3"
"10/25/17 9:12 AM","1508922720","216","14","202","34","2"
"10/25/17 9:13 AM","1508922780","242","17","225","26","3"
"10/25/17 9:14 AM","1508922840","255","18","237","13","1"
"10/25/17 9:15 AM","1508922900","280","18","262","25","0"
"10/25/17 9:16 AM","1508922960","292","18","274","12","0"
"10/25/17 9:17 AM","1508923020","316","23","293","24","5"
"10/25/17 9:18 AM","1508923080","340","24","316","24","1"
"10/25/17 9:19 AM","1508923140","367","24","343","27","0"
"10/25/17 9:20 AM","1508923200","386","26","360","19","2"
"10/25/17 9:21 AM","1508923260","401","26","375","15","0"
"10/25/17 9:22 AM","1508923320","418","28","390","17","2"
"10/25/17 9:23 AM","1508923380","442","31","411","24","3"
"10/25/17 9:24 AM","1508923440","463","31","432","21","0"
"10/25/17 9:25 AM","1508923500","498","31","467","35","0"
"10/25/17 9:26 AM","1508923560","512","31","481","14","0"
"10/25/17 9:27 AM","1508923620","547","34","513","35","3"
"10/25/17 9:28 AM","1508923680","568","34","534","21","0"
"10/25/17 9:29 AM","1508923740","598","38","560","30","4"
"10/25/17 9:30 AM","1508923800","636","45","591","38","7"
"10/25/17 9:31 AM","1508923860","683","50","633","47","5"
"10/25/17 9:32 AM","1508923920","729","61","668","46","11"
"10/25/17 9:33 AM","1508923980","748","61","687","19","0"
"10/25/17 9:34 AM","1508924040","756","61","695","8","0"
"10/25/17 9:35 AM","1508924100","780","66","714","24","5"
"10/25/17 9:36 AM","1508924160","817","68","749","37","2"
"10/25/17 9:37 AM","1508924220","837","73","764","20","5"
"10/25/17 9:38 AM","1508924280","858","74","784","21","1"
"10/25/17 9:39 AM","1508924340","881","79","802","23","5"
"10/25/17 9:40 AM","1508924400","909","81","828","28","2"
"10/25/17 9:41 AM","1508924460","936","82","854","27","1"
"10/25/17 9:42 AM","1508924520","953","84","869","17","2"
"10/25/17 9:43 AM","1508924580","994","85","909","41","1"
"10/25/17 9:44 AM","1508924640","1022","86","936","28","1"
"10/25/17 9:45 AM","1508924700","1039","89","950","17","3"
