"Time","Unix Time","Entry","Exit","No. of people remained","No. of people Entered","No. of People Left"
"10/25/17 9:00 AM","1508922000","0","0","0","0","0"
"10/25/17 9:01 AM","1508922060","6","0","6","6","0"
"10/25/17 9:02 AM","1508922120","19","0","19","13","0"
"10/25/17 9:03 AM","1508922180","32","0","32","13","0"
"10/25/17 9:04 AM","1508922240","54","0","54","22","0"
"10/25/17 9:05 AM","1508922300","56","0","56","2","0"
"10/25/17 9:06 AM","1508922360","63","1","62","7","1"
"10/25/17 9:07 AM","1508922420","77","2","75","14","1"
"10/25/17 9:08 AM","1508922480","86","3","83","9","1"
"10/25/17 9:09 AM","1508922540","98","4","94","12","1"
"10/25/17 9:10 AM","1508922600","113","5","108","15","1"
"10/25/17 9:11 AM","1508922660","127","5","122","14","0"
"10/25/17 9:12 AM","1508922720","137","5","132","10","0"
"10/25/17 9:13 AM","1508922780","146","5","141","9","0"
"10/25/17 9:14 AM","1508922840","153","5","148","7","0"
"10/25/17 9:15 AM","1508922900","159","5","154","6","0"
"10/25/17 9:16 AM","1508922960","174","6","168","15","1"
"10/25/17 9:17 AM","1508923020","186","10","176","12","4"
"10/25/17 9:18 AM","1508923080","190","10","180","4","0"
"10/25/17 9:19 AM","1508923140","210","11","199","20","1"
"10/25/17 9:20 AM","1508923200","225","13","212","15","2"
"10/25/17 9:21 AM","1508923260","235","13","222","10","0"
"10/25/17 9:22 AM","1508923320","246","13","233","11","0"
"10/25/17 9:23 AM","1508923380","258","14","244","12","1"
"10/25/17 9:24 AM","1508923440","264","15","249","6","1"
"10/25/17 9:25 AM","1508923500","272","16","256","8","1"
"10/25/17 9:26 AM","1508923560","283","17","266","11","1"
"10/25/17 9:27 AM","1508923620","284","17","267","1","0"
"10/25/17 9:28 AM","1508923680","291","17","274","7","0"
"10/25/17 9:29 AM","1508923740","304","21","283","13","4"
"10/25/17 9:30 AM","1508923800","315","21","294","11","0"
"10/25/17 9:31 AM","1508923860","317","21","296","2","0"
"10/25/17 9:32 AM","1508923920","322","21","301","5","0"
"10/25/17 9:33 AM","1508923980","338","25","313","16","4"
"10/25/17 9:34 AM","1508924040","348","27","321","10","2"
"10/25/17 9:35 AM","1508924100","368","31","337","20","4"
"10/25/17 9:36 AM","1508924160","378","31","347","10","0"
"10/25/17 9:37 AM","1508924220","392","32","360","14","1"
"10/25/17 9:38 AM","1508924280","396","33","363","4","1"
"10/25/17 9:39 AM","1508924340","406","33","373","10","0"
"10/25/17 9:40 AM","1508924400","412","34","378","6","1"
"10/25/17 9:41 AM","1508924460","419","36","383","7","2"
"10/25/17 9:42 AM","1508924520","432","36","396","13","0"
"10/25/17 9:43 AM","1508924580","439","36","403","7","0"
"10/25/17 9:44 AM","1508924640","449","37","412","10","1"
"10/25/17 9:45 AM","1508924700","463","38","425","14","1"
"10/25/17 9:46 AM","1508924760","472","39","433","9","1"
"10/25/17 9:47 AM","1508924820","481","39","442","9","0"
"10/25/17 9:48 AM","1508924880","496","40","456","15","1"
"10/25/17 9:49 AM","1508924940","502","41","461","6","1"
"10/25/17 9:50 AM","1508925000","513","42","471","11","1"
"10/25/17 9:51 AM","1508925060","524","46","478","11","4"
"10/25/17 9:52 AM","1508925120","531","47","484","7","1"
"10/25/17 9:53 AM","1508925180","540","50","490","9","3"
"10/25/17 9:54 AM","1508925240","552","52","500","12","2"
"10/25/17 9:55 AM","1508925300","557","54","503","5","2"
"10/25/17 9:56 AM","1508925360","569","54","515","12","0"
"10/25/17 9:57 AM","1508925420","590","59","531","21","5"
"10/25/17 9:58 AM","1508925480","598","59","539","8","0"
"10/25/17 9:59 AM","1508925540","605","59","546","7","0"
"10/25/17 10:00 AM","1508925600","612","61","551","7","2"
"10/25/17 10:01 AM","1508925660","627","61","566","15","0"
"10/25/17 10:02 AM","1508925720","632","62","570","5","1"
"10/25/17 10:03 AM","1508925780","641","64","577","9","2"
"10/25/17 10:04 AM","1508925840","650","67","583","9","3"
"10/25/17 10:05 AM","1508925900","656","67","589","6","0"
"10/25/17 10:06 AM","1508925960","662","67","595","6","0"
"10/25/17 10:07 AM","1508926020","672","67","605","10","0"
"10/25/17 10:08 AM","1508926080","679","69","610","7","2"
"10/25/17 10:09 AM","1508926140","696","75","621","17","6"
"10/25/17 10:10 AM","1508926200","711","82","629","15","7"
"10/25/17 10:11 AM","1508926260","715","84","631","4","2"
"10/25/17 10:12 AM","1508926320","722","86","636","7","2"
"10/25/17 10:13 AM","1508926380","736","88","648","14","2"
"10/25/17 10:14 AM","1508926440","740","89","651","4","1"
"10/25/17 10:15 AM","1508926500","744","90","654","4","1"
"10/25/17 10:16 AM","1508926560","749","91","658","5","1"
"10/25/17 10:17 AM","1508926620","755","93","662","6","2"
"10/25/17 10:18 AM","1508926680","768","100","668","13","7"
"10/25/17 10:19 AM","1508926740","775","100","675","7","0"
"10/25/17 10:20 AM","1508926800","786","101","685","11","1"
"10/25/17 10:21 AM","1508926860","792","102","690","6","1"
"10/25/17 10:22 AM","1508926920","796","102","694","4","0"
"10/25/17 10:23 AM","1508926980","807","102","705","11","0"
