"Time","Unix Time","Entry","Exit","No. of people remained","No. of people Entered","No. of People Left"
"10/25/17 9:36 AM","1508924160","0","0","0","0","0"
"10/25/17 9:37 AM","1508924220","15","0","15","15","0"
"10/25/17 9:38 AM","1508924280","24","2","22","9","2"
"10/25/17 9:39 AM","1508924340","36","3","33","12","1"
"10/25/17 9:40 AM","1508924400","51","3","48","15","0"
"10/25/17 9:41 AM","1508924460","68","3","65","17","0"
"10/25/17 9:42 AM","1508924520","79","4","75","11","1"
"10/25/17 9:43 AM","1508924580","84","4","80","5","0"
"10/25/17 9:44 AM","1508924640","115","4","111","31","0"
"10/25/17 9:45 AM","1508924700","133","5","128","18","1"
"10/25/17 9:46 AM","1508924760","160","6","154","27","1"
"10/25/17 9:47 AM","1508924820","185","6","179","25","0"
"10/25/17 9:48 AM","1508924880","204","6","198","19","0"
"10/25/17 9:49 AM","1508924940","209","6","203","5","0"
"10/25/17 9:50 AM","1508925000","220","6","214","11","0"
"10/25/17 9:51 AM","1508925060","234","6","228","14","0"
"10/25/17 9:52 AM","1508925120","254","6","248","20","0"
"10/25/17 9:53 AM","1508925180","274","8","266","20","2"
"10/25/17 9:54 AM","1508925240","290","8","282","16","0"
"10/25/17 9:55 AM","1508925300","298","8","290","8","0"
"10/25/17 9:56 AM","1508925360","316","11","305","18","3"
"10/25/17 9:57 AM","1508925420","325","11","314","9","0"
"10/25/17 9:58 AM","1508925480","355","18","337","30","7"
"10/25/17 9:59 AM","1508925540","375","19","356","20","1"
"10/25/17 10:00 AM","1508925600","384","19","365","9","0"
"10/25/17 10:01 AM","1508925660","389","20","369","5","1"
"10/25/17 10:02 AM","1508925720","407","24","383","18","4"
"10/25/17 10:03 AM","1508925780","417","26","391","10","2"
"10/25/17 10:04 AM","1508925840","421","27","394","4","1"
"10/25/17 10:05 AM","1508925900","428","27","401","7","0"
"10/25/17 10:06 AM","1508925960","440","28","412","12","1"
"10/25/17 10:07 AM","1508926020","454","28","426","14","0"
"10/25/17 10:08 AM","1508926080","466","29","437","12","1"
"10/25/17 10:09 AM","1508926140","480","29","451","14","0"
"10/25/17 10:10 AM","1508926200","502","29","473","22","0"
"10/25/17 10:11 AM","1508926260","535","29","506","33","0"
"10/25/17 10:12 AM","1508926320","551","29","522","16","0"
"10/25/17 10:13 AM","1508926380","571","31","540","20","2"
"10/25/17 10:14 AM","1508926440","599","31","568","28","0"
"10/25/17 10:15 AM","1508926500","607","31","576","8","0"
"10/25/17 10:16 AM","1508926560","616","31","585","9","0"
"10/25/17 10:17 AM","1508926620","653","31","622","37","0"
"10/25/17 10:18 AM","1508926680","672","31","641","19","0"
"10/25/17 10:19 AM","1508926740","681","31","650","9","0"
"10/25/17 10:20 AM","1508926800","693","31","662","12","0"
"10/25/17 10:21 AM","1508926860","703","31","672","10","0"
"10/25/17 10:22 AM","1508926920","714","31","683","11","0"
"10/25/17 10:23 AM","1508926980","723","31","692","9","0"
