Time,McD_ppl_entry,McD_ppl,Med_ppl_entry,Med_ppl,More_ppl_entry,More_ppl
10/25/2017 8:59,0,0,0,0,0,0
10/25/2017 9:00,0,0,6,6,15,15
10/25/2017 9:01,3,3,19,13,24,9
10/25/2017 9:02,7,4,32,13,36,12
10/25/2017 9:03,9,2,54,22,51,15
10/25/2017 9:04,10,1,56,2,68,17
10/25/2017 9:05,10,0,63,7,79,11
10/25/2017 9:06,10,0,77,14,84,5
10/25/2017 9:07,37,27,86,9,115,31
10/25/2017 9:08,69,32,98,12,133,18
10/25/2017 9:09,102,33,113,15,160,27
10/25/2017 9:10,147,45,127,14,185,25
10/25/2017 9:11,182,35,137,10,204,19
10/25/2017 9:12,216,34,146,9,209,5
10/25/2017 9:13,242,26,153,7,220,11
10/25/2017 9:14,255,13,159,6,234,14
10/25/2017 9:15,280,25,174,15,254,20
10/25/2017 9:16,292,12,186,12,274,20
10/25/2017 9:17,316,24,190,4,290,16
10/25/2017 9:18,340,24,210,20,298,8
10/25/2017 9:19,367,27,225,15,316,18
10/25/2017 9:20,386,19,235,10,325,9
10/25/2017 9:21,401,15,246,11,355,30
10/25/2017 9:22,418,17,258,12,375,20
10/25/2017 9:23,442,24,264,6,384,9
10/25/2017 9:24,463,21,272,8,389,5
10/25/2017 9:25,498,35,283,11,407,18
10/25/2017 9:26,512,14,284,1,417,10
10/25/2017 9:27,547,35,291,7,421,4
10/25/2017 9:28,568,21,304,13,428,7
10/25/2017 9:29,598,30,315,11,440,12
10/25/2017 9:30,636,38,317,2,454,14
10/25/2017 9:31,683,47,322,5,466,12
10/25/2017 9:32,729,46,338,16,480,14
10/25/2017 9:33,748,19,348,10,502,22
10/25/2017 9:34,756,8,368,20,535,33
10/25/2017 9:35,780,24,378,10,551,16
10/25/2017 9:36,817,37,392,14,571,20
10/25/2017 9:37,837,20,396,4,599,28
10/25/2017 9:38,858,21,406,10,607,8
10/25/2017 9:39,881,23,412,6,616,9
10/25/2017 9:40,909,28,419,7,653,37
10/25/2017 9:41,936,27,432,13,672,19
10/25/2017 9:42,953,17,439,7,681,9
10/25/2017 9:43,994,41,449,10,693,12
10/25/2017 9:44,1022,28,463,14,703,10
10/25/2017 9:45,1039,17,472,9,714,11
10/25/2017 9:46,1071,32,481,9,723,9
10/25/2017 9:47,1114,43,496,15,730,7
10/25/2017 9:48,1160,46,502,6,744,14
10/25/2017 9:49,1194,34,513,11,755,11
10/25/2017 9:50,1228,34,524,11,764,9
10/25/2017 9:51,1263,35,531,7,775,11
10/25/2017 9:52,1292,29,540,9,787,12
10/25/2017 9:53,1316,24,552,12,802,15
10/25/2017 9:54,1349,33,557,5,821,19
10/25/2017 9:55,1385,36,569,12,845,24
10/25/2017 9:56,1423,38,590,21,851,6
10/25/2017 9:57,1446,23,598,8,865,14
10/25/2017 9:58,1491,45,605,7,875,10
10/25/2017 9:59,1517,26,612,7,890,15
10/25/2017 10:00,1543,26,627,15,907,17
10/25/2017 10:01,1560,17,632,5,919,12
10/25/2017 10:02,1579,19,641,9,930,11
10/25/2017 10:03,1624,45,650,9,955,25
10/25/2017 10:04,1640,16,656,6,968,13
10/25/2017 10:05,1674,34,662,6,987,19
10/25/2017 10:06,1697,23,672,10,1009,22
10/25/2017 10:07,1738,41,679,7,1029,20
10/25/2017 10:08,1779,41,696,17,1050,21
10/25/2017 10:09,1810,31,711,15,1070,20
10/25/2017 10:10,1846,36,715,4,1084,14
10/25/2017 10:11,1888,42,722,7,1101,17
10/25/2017 10:12,1918,30,736,14,1121,20
10/25/2017 10:13,1951,33,740,4,1137,16
10/25/2017 10:14,1972,21,744,4,1160,23
10/25/2017 10:15,2021,49,749,5,1179,19
10/25/2017 10:16,2045,24,755,6,1196,17
10/25/2017 10:17,2067,22,768,13,1220,24
10/25/2017 10:18,2080,13,775,7,1255,35
10/25/2017 10:19,2119,39,786,11,1274,19
10/25/2017 10:20,2138,19,792,6,1292,18
10/25/2017 10:21,2183,45,796,4,1321,29
10/25/2017 10:22,2232,49,807,11,1349,28
10/25/2017 10:23,2276,44,813,6,1361,12
10/25/2017 10:24,2306,30,826,13,1384,23
10/25/2017 10:25,2340,34,831,5,1414,30
10/25/2017 10:26,2386,46,835,4,1432,18
10/25/2017 10:27,2431,45,840,5,1457,25
10/25/2017 10:28,2476,45,850,10,1479,22
10/25/2017 10:29,2496,20,855,5,1509,30
10/25/2017 10:30,2524,28,866,11,1528,19
10/25/2017 10:31,2534,10,868,2,1560,32
10/25/2017 10:32,2548,14,880,12,1588,28
10/25/2017 10:33,2573,25,887,7,1613,25
10/25/2017 10:34,2608,35,894,7,1638,25
10/25/2017 10:35,2659,51,898,4,1660,22
10/25/2017 10:36,2667,8,906,8,1682,22
10/25/2017 10:37,2685,18,913,7,1704,22
10/25/2017 10:38,2721,36,919,6,1726,22
10/25/2017 10:39,2737,16,927,8,1747,21
10/25/2017 10:40,2757,20,933,6,1772,25
10/25/2017 10:41,2794,37,945,12,1795,23
10/25/2017 10:42,2810,16,950,5,1818,23
10/25/2017 10:43,2831,21,961,11,1837,19
10/25/2017 10:44,2867,36,971,10,1856,19
10/25/2017 10:45,2896,29,979,8,1884,28
10/25/2017 10:46,2915,19,993,14,1908,24
10/25/2017 10:47,2936,21,998,5,1927,19
10/25/2017 10:48,2983,47,1003,5,1954,27
10/25/2017 10:49,3001,18,1012,9,1983,29
10/25/2017 10:50,3026,25,1018,6,2021,38
10/25/2017 10:51,3050,24,1030,12,2038,17
10/25/2017 10:52,3071,21,1038,8,2066,28
10/25/2017 10:53,3099,28,1049,11,2099,33
10/25/2017 10:54,3135,36,1051,2,2132,33
10/25/2017 10:55,3160,25,1060,9,2163,31
10/25/2017 10:56,3188,28,1060,0,2197,34
10/25/2017 10:57,3239,51,1066,6,2227,30
10/25/2017 10:58,3278,39,1073,7,2265,38
10/25/2017 10:59,3303,25,1082,9,2292,27
10/25/2017 11:00,3346,43,1087,5,2317,25
10/25/2017 11:01,3384,38,1095,8,2350,33
10/25/2017 11:02,3424,40,1109,14,2369,19
10/25/2017 11:03,3460,36,1116,7,2407,38
10/25/2017 11:04,3509,49,1125,9,2431,24
10/25/2017 11:05,3554,45,1140,15,2470,39
10/25/2017 11:06,3587,33,1152,12,2497,27
10/25/2017 11:07,3630,43,1160,8,2526,29
10/25/2017 11:08,3665,35,1170,10,2563,37
10/25/2017 11:09,3711,46,1178,8,2597,34
10/25/2017 11:10,3731,20,1186,8,2615,18
10/25/2017 11:11,3772,41,1205,19,2641,26
10/25/2017 11:12,3816,44,1218,13,2674,33
10/25/2017 11:13,3854,38,1241,23,2707,33
10/25/2017 11:14,3893,39,1268,27,2726,19
10/25/2017 11:15,3936,43,1276,8,2753,27
10/25/2017 11:16,3974,38,1286,10,2781,28
10/25/2017 11:17,4036,62,1308,22,2798,17
10/25/2017 11:18,4062,26,1318,10,2840,42
10/25/2017 11:19,4103,41,1329,11,2874,34
10/25/2017 11:20,4147,44,1335,6,2892,18
10/25/2017 11:21,4183,36,1346,11,2929,37
10/25/2017 11:22,4216,33,1368,22,2967,38
10/25/2017 11:23,4236,20,1381,13,3003,36
10/25/2017 11:24,4284,48,1393,12,3045,42
10/25/2017 11:25,4324,40,1414,21,3075,30
10/25/2017 11:26,4382,58,1435,21,3098,23
10/25/2017 11:27,4438,56,1443,8,3119,21
10/25/2017 11:28,4483,45,1454,11,3168,49
10/25/2017 11:29,4545,62,1467,13,3204,36
10/25/2017 11:30,4612,67,1472,5,3227,23
10/25/2017 11:31,4655,43,1487,15,3274,47
10/25/2017 11:32,4705,50,1492,5,3294,20
10/25/2017 11:33,4766,61,1512,20,3321,27
10/25/2017 11:34,4848,82,1528,16,3363,42
10/25/2017 11:35,4888,40,1545,17,3413,50
10/25/2017 11:36,4918,30,1554,9,3446,33
10/25/2017 11:37,4982,64,1568,14,3484,38
10/25/2017 11:38,5038,56,1576,8,3513,29
10/25/2017 11:39,5089,51,1588,12,3548,35
10/25/2017 11:40,5123,34,1599,11,3571,23
10/25/2017 11:41,5174,51,1609,10,3585,14
10/25/2017 11:42,5236,62,1625,16,3613,28
10/25/2017 11:43,5304,68,1645,20,3653,40
10/25/2017 11:44,5357,53,1654,9,3705,52
10/25/2017 11:45,5396,39,1660,6,3746,41
10/25/2017 11:46,5454,58,1673,13,3800,54
10/25/2017 11:47,5517,63,1683,10,3822,22
10/25/2017 11:48,5574,57,1700,17,3857,35
10/25/2017 11:49,5646,72,1719,19,3885,28
10/25/2017 11:50,5711,65,1725,6,3917,32
10/25/2017 11:51,5788,77,1746,21,3956,39
10/25/2017 11:52,5837,49,1760,14,3997,41
10/25/2017 11:53,5896,59,1773,13,4023,26
10/25/2017 13:02,5967,71,1793,20,4048,25
10/25/2017 13:03,6057,90,1802,9,4091,43
10/25/2017 13:04,6133,76,1825,23,4139,48
10/25/2017 13:05,6217,84,1837,12,4170,31
10/25/2017 13:06,6281,64,1850,13,4189,19
10/25/2017 13:07,6361,80,1865,15,4243,54
10/25/2017 13:08,6431,70,1891,26,4277,34
10/25/2017 13:09,6494,63,1908,17,4311,34
10/25/2017 13:10,6563,69,1939,31,4335,24
10/25/2017 13:11,6632,69,1959,20,4364,29
10/25/2017 13:12,6697,65,1979,20,4400,36
10/25/2017 13:13,6771,74,1994,15,4431,31
10/25/2017 13:14,6863,92,2007,13,4459,28
10/25/2017 13:15,6922,59,2020,13,4485,26
